entry_time,exit_time,side,entry,exit,lots,sl_dist_usd,lots_capped,notional_capped,notional_usd,pnl_cash,pnl_r,mae_cash,mfe_cash,exit_reason
2025-01-01 23:20:00+00:00,2025-01-01 23:40:00+00:00,SELL,2624.253970588589,2622.5841176576614,1.9053033951887515,1.2205882282256653,False,True,500000.0,318.1576458761846,1.368072288682326,-30.680988428693684,436.1183433925158,TP
2025-01-02 00:15:00+00:00,2025-01-02 00:45:00+00:00,BUY,2625.931029411411,2627.5992557615737,1.9040865673919563,1.2205882282256653,False,True,500000.0,317.6447384713751,1.3667396682889255,-135.38615512889524,386.3335643365458,TP
2025-01-02 01:05:00+00:00,2025-01-02 01:05:00+00:00,SELL,2627.121915349958,2628.6597575183387,1.9032234365621177,1.3616930008409305,False,True,500000.0,-292.6857256595937,-1.1293604119512508,-658.1507751575854,0.0,SL
2025-01-02 01:10:00+00:00,2025-01-02 01:15:00+00:00,BUY,2629.8011491675397,2631.899974029336,1.901284438020245,1.5229833507988886,False,True,500000.0,399.046304786349,1.3781009888883242,-56.30638035757386,448.48463793675273,TP
2025-01-02 02:50:00+00:00,2025-01-02 02:55:00+00:00,SELL,2632.7399316813053,2634.7312803378213,1.8991621389686328,1.801366373894287,False,True,500000.0,-378.1893973941313,-1.1054656539474743,-502.3413605850846,2.835768380630472,SL
2025-01-02 04:55:00+00:00,2025-01-02 05:35:00+00:00,BUY,2634.044672634202,2635.822623267399,1.898221412850869,1.2934526840404859,False,True,500000.0,337.4943962926646,1.3745772498173021,-171.72689658627093,423.36551634251794,TP
2025-01-02 06:05:00+00:00,2025-01-02 06:25:00+00:00,SELL,2632.4242837253328,2633.907780268569,1.8993898631432393,1.3143254933460786,False,True,500000.0,-281.77382962305234,-1.1287132074561317,-392.3600552232536,201.19927700900865,SL
2025-01-02 06:35:00+00:00,2025-01-02 07:25:00+00:00,BUY,2633.998953979129,2635.9046924950644,1.8982543605215185,1.3790795825853293,False,True,500000.0,361.7576447888094,1.3818916181491931,-112.74757308304565,394.0863411761273,TP
2025-01-02 07:40:00+00:00,2025-01-02 07:50:00+00:00,SELL,2633.2101950408414,2634.6693961750134,1.8988229687916918,1.2960991831731556,False,True,500000.0,-277.076462965261,-1.1258406402197516,-309.471109110118,27.56996785042454,SL
2025-01-02 08:00:00+00:00,2025-01-02 08:10:00+00:00,BUY,2636.2404319227535,2634.7623097907945,1.8966403592988021,1.3086384550787886,False,True,500000.0,-280.34660914462785,-1.1295114599624334,-424.929360695568,158.2875497887792,SL
